('GNT1', 1590.0567888986807)
('PRP2', 1589.9697642455458)
('LAS1', 1585.637730901916)
('MDM31', 1584.555019263324)
('CYK3', 1584.3956992980434)
('YNL198C', 1582.031303798039)
('HST1', 1578.7308640982449)
('SIZ1', 1578.173195411128)
('YDR332W', 1576.8642120035286)
('OSM1', 1570.568873490583)
('APN2', 1568.33775896623)
('YOR022C', 1568.0527183341183)
('SAD1', 1567.8399771818551)
('PEX13', 1566.1804942289066)
('BIK1', 1562.3613877998475)
('CDC8', 1561.3678618305744)
('PEX15', 1559.7023064622445)
('ERD1', 1558.6641793982747)
('CLN1', 1552.7551592835293)
('RRD2', 1551.9901456882853)
('GAL80', 1543.3336851369752)
('AMN1', 1541.8821926463072)
('EKI1', 1531.5835194378908)
('NEM1', 1530.0487012500573)
('TCM10', 1526.5665220097849)
('STR3', 1524.6349570353566)
('SOG2', 1522.5449869283618)
('COX18', 1520.3181928882886)
('CCC1', 1517.494143542497)
('AMS1', 1515.6660622495715)
('MAD3', 1513.151846136686)
('PDR8', 1507.2490487619034)
('ASF2', 1504.4467122251285)
('SUB2', 1502.6582518383516)
('DBR1', 1497.9332710125827)
('NRG2', 1492.4071924882114)
('CAF17', 1490.6561919181577)
('UGA3', 1489.521556583915)
('LIF1', 1486.2176379382777)
('SSL1', 1483.8160994613286)
('CYC2', 1483.519137765387)
('YPL168W', 1479.9436630833068)
('PHO11', 1479.1485891321463)
('RPN4', 1475.6638446470351)
('YBR168W', 1472.371073568271)
('YNL254C', 1471.906538178781)
('YBR047W', 1465.643
