Orf	Name	130min	170min	Overnight
YJR127C	RSF2	0.272622108	0.352290432	3.070155635
YAL032C	PRP45	-0.312963035	0.022455231	-0.17955123
YBR084C-A	RPL19A	-0.166986666	-0.81415282	-0.154509804
YGL021W	ALK1	NA	-1.587121248	0.619083803
YOL081W	IRA2	0.055322669	0.203315972	0.579393887
YDR185C	UPS3	0.848712863	-0.158820592	0.552947153
YDL051W	LHP1	1.037414453	0.972705425	-0.604544339
YLR363W-A	YLR363W-A	-0.334272068	-0.864075861	-1.228850128
YGL010W	MPO1	0.1470946	-0.609264754	-0.22668189
YGR108W	CLB1	-0.600066973	-1.32359439	0.391827308
YGR135W	PRE9	0.998074112	0.840450445	0.047356163
YNL041C	COG6	0.457980863	0.473938377	-0.363897921
YOL094C	RFC4	0.488786032	-0.117889425	-0.15780416
YJR063W	RPA12	0.026748769	0.59628057	-1.681212331
YDL027C	YDL027C	-0.194106476	-0.05450091	-0.314628008
YMR309C	NIP1	-0.214545634	0.446733521	-1.124924815
YNL169C	PSD1	0.28834543	-0.674163282	-1.68396557
YOR252W	TMA16	0.040521358	0.291047049	0.601418627
YDR281C	PHM6	-0.214218465	0.46485067	0.33081937
YGL113W	SLD3	-0.102101876	0.417227762	2.248649166
YER124C	DSE1	0.836769092	0.652384174	0.906202301
YLL008W	DRS1	-0.255234971	-0.324858515	-0.628051724
YLL010C	PSR1	-0.549452958	-0.077977241	-0.363846545
YDL064W	UBC9	NA	-0.322781097	0.462107513
YER087C-A	YER087C-A	0.738230012	0.136558293	NA
YNL106C	INP52	0.649864163	0.818453582	2.677570548
YBL029W	YBL029W	-0.51065488	-0.021427967	1.218917736
YDR043C	NRG1	0.557224915	0.283031354	-0.47179089
YNL052W	COX5A	-1.059117318	0.025217285	-0.218248864
YMR031C	EIS1	-0.003743983	0.825782422	1.113519754
YGR283C	YGR283C	0.738749645	0.679184605	0.120253102
YHR072W-A	NOP10	-0.006485585	-0.157781657	-2.276950967
YLR335W	NUP2	0.228511942	-0.22537066	-0.813022766
YDL058W	USO1	-0.012986049	-0.178366976	-0.413785205
YKL081W	TEF4	0.79354353	0.612408753	-0.051385592
YDR372C	VPS74	-0.063383071	0.009006108	-0.57178746
YEL007W	MIT1	0.641417531	1.21505942	0.881658799
YLR048W	RPS0B	-1.201721819	-0.328179194	0.871466344
YNL274C	GOR1	0.334397889	1.405606335	0.786877342
YGR052W	FMP48	0.341574465	0.844590994	1.510133466
YMR032W	HOF1	-0.200029337	-1.35580291	1.348072793
YBR169C	SSE2	0.345569207	1.20440567	0.383095858
YER021W	RPN3	1.083186741	-0.73623715	0.473745422
YGR065C	VHT1	-0.942956491	-1.350523255	-1.630228063
YMR114C	YMR114C	0.31172114	0.51120985	0.296152887
YER006W	NUG1	0.475044313	0.260113988	0.135413992
YIR034C	LYS1	0.434203263	0.843490108	0.436677772
YER070W	RNR1	NA	-14.01794305	-6.622709885
YOR295W	UAF30	0.243922701	0.240968638	-0.578526926
YBR145W	ADH5	-0.843484396	-0.261374822	0.884621464
YPL127C	HHO1	1.656383099	1.849104311	0.40460162
YNL070W	TOM7	1.550387142	0.833772803	NA
YNL031C	HHT2	-0.857821808	1.009813149	-0.813518755
YBR289W	SNF5	0.016999272	-0.056912932	1.703331441
YHL007C	STE20	0.211931889	-0.225003813	-0.30076456
YMR019W	STB4	-0.786300852	-0.044041922	0.256948536
YPR113W	PIS1	0.103397834	0.312855922	-0.165314874
YGL173C	XRN1	0.697487736	0.225112593	-1.008195864
YKR006C	MRPL13	0.40510376	1.261435592	0.22982561
YEL018W	EAF5	0.945757499	0.577403709	-0.103296688
YMR143W	RPS16A	-0.814110556	-0.613123046	0.666375692
YIL022W	TIM44	0.095492696	1.072920088	0.683077458
YMR304W	UBP15	-0.253466795	0.249484541	1.274775341
YOR249C	APC5	0.175443154	0.455440068	1.963039738
YBR176W	ECM31	0.264414624	0.020249041	0.292272582
YMR301C	ATM1	NA	-0.426062038	0.425191993
YPL064C	CWC27	0.532183417	0.138198269	0.565513569
YBR214W	SDS24	0.219676285	0.567876012	0.401190616
YOR289W	YOR289W	0.656217714	1.044603854	0.279734092
YJL124C	LSM1	0.138244554	-0.108496141	0.651588528
YEL052W	AFG1	-0.153455008	0.141650546	0.004249182
YOL089C	HAL9	0.138995652	0.032257582	2.050589073
YFL021W	GAT1	1.385860496	1.072510068	-0.018944053
YCR092C	MSH3	0.5260419	0.581056902	0.191537999
YNL250W	RAD50	-0.680792772	0.009814947	2.919028036
YOR172W	YRM1	0.327270328	0.10800113	-0.177638901
YIL034C	CAP2	1.765419033	1.811968987	0.390107197
YPR071W	YPR071W	0.097622777	0.143434168	-0.921957454
YLR044C	PDC1	-1.092589544	-0.297373423	-1.982328386
YKR043C	SHB17	0.175901903	-0.554146973	-0.521453377
YAL011W	SWC3	1.817834724	0.221320492	0.09852412
YMR310C	YMR310C	0.448642689	0.487629689	-0.080151537
YOR174W	MED4	-0.383874503	-0.222008173	-0.021638195
YDR517W	GRH1	-0.307793512	-0.196942983	0.02135843
YLR201C	COQ9	-0.205155692	-0.408607275	-0.097773563
YLR107W	REX3	-0.387086931	-0.206644775	0.010295373
YOR372C	NDD1	0.186921581	-0.148142069	-0.465999752
YPL120W	VPS30	0.238361481	-0.069952126	0.431971188
YNL133C	FYV6	0.363987034	0.0657003	1.494259908
YPR159W	KRE6	NA	-4.883127992	NA
YHR070W	TRM5	-0.054789762	-0.093052723	-0.042332174
YHR036W	BRL1	0.288114564	0.047566354	0.527332237
YBL086C	YBL086C	-0.956868829	-0.15647415	0.202620486
YKL114C	APN1	0.539083979	0.06807176	0.61744616
YGL134W	PCL10	-0.502067756	-0.440982492	0.025655832
